EMPLOYER_KEY,EMPLOYER_NAME,Certified_LCAs,New_Employment_Approval,Most_Common_SOC,Median_Prevailing_Wage_Level,Median_Annualized_Prevailing_Wage
cota,COTA,1,0,Database Architects,II,126360
cotacapitalmanagement,Cota Capital Management,1,0,Investment Fund Managers,II,174574
cotyus,COTY US,1,0,Market Research Analysts and Marketing Specialists,II,79789
cougarcuttingtools,Cougar Cutting Tools,1,0,General and Operations Managers,I,56181
cougartech,Cougar Tech,1,0,Software Developers,II,105997
councilforaffordablequalityhealthcare,Council for Affordable Quality Healthcare,1,0,Computer and Information Systems Managers,IV,182541
counselaicorporation,Counsel AI Corporation,11,0,Lawyers,III,158642
counterparthealth,Counterpart Health,2,0,Data Scientists,IV,151694
countiesofadamsweldschooldistrict27j,Counties of Adams & Weld School District 27J,1,0,"Middle School Teachers, Except Special and Career/Technical Education",NA,75874.5
countyofmonterey,County of Monterey,1,0,Medical and Clinical Laboratory Technologists,NA,128148.8
countyofsolano,County of Solano,1,0,Computer Systems Analysts,NA,124790.40000000001
courpharmaceuticalsdevelopmentcompany,COUR PHARMACEUTICALS DEVELOPMENT COMPANY,1,0,Bioengineers and Biomedical Engineers,III,98093
courtappearanceprofessionals,Court Appearance Professionals,1,0,Software Developers,I,102357
covalensedigitialsolutions,COVALENSE DIGITIAL SOLUTIONS,4,0,Software Developers,III,125445
covantsolutions,COVANT SOLUTIONS,13,0,Software Developers,II,105206
covertechnologies,Cover Technologies,1,0,Manufacturing Engineers,III,113069
covestro,Covestro,2,0,Electrical Engineers,IV,128097
covetit,CovetIT,5,0,Software Developers,II,105227.20000000001
covetrus,Covetrus,6,0,Software Developers,IV,133140.5
covetus,COVETUS,1,0,Software Developers,II,104998
coviance,Coviance,1,0,Software Developers,I,84781
covingtonburlingllp,Covington & Burling LLP,2,0,Lawyers,III,212826
coviusservices,Covius Services,2,0,Software Developers,III,123992
coxcorporateservices,Cox Corporate Services,2,0,Information Technology Project Managers,III,125517.5
coxhealth,CoxHealth,1,0,Medical and Clinical Laboratory Technologists,I,38708.799999999996
cozysystems,Cozy Systems,1,0,Software Quality Assurance Analysts and Testers,IV,118414
cpbaker,CP Baker,1,0,Financial and Investment Analysts,II,100589
cpginternational,CPG International,1,0,Software Developers,III,127754
cpisecuritysystems,CPI Security Systems,1,0,Software Developers,III,134347
cposervices,CPO Services,5,0,Orthotists and Prosthetists,I,56555
cptholdings,CPT Holdings,1,0,Market Research Analysts and Marketing Specialists,III,86112
cpy,CP&Y,3,0,Civil Engineers,II,81827
cqvassociates,CQV Associates,1,0,Validation Engineers,I,74984
cranechempharmaenergycorp,Crane ChemPharma & Energy Corp,4,0,Computer and Information Systems Managers,III,146868.5
cranecompany,Crane Company,1,0,Accountants and Auditors,III,98197
craneinstrumentationsamplingpftcorp,Crane Instrumentation & Sampling PFT Corp,1,0,Quality Control Systems Managers,II,107411
cranenuclearpftcorp,Crane Nuclear PFT Corp,1,0,Financial and Investment Analysts,III,101941
cranepaymentinnovations,Crane Payment Innovations,1,0,Electrical Engineers,II,97760
craveinfotech,CRAVE INFOTECH,1,0,Software Developers,II,123656
crawfordcountymemorialhospital,Crawford County Memorial Hospital,2,0,Medical and Clinical Laboratory Technologists,II,46696
crawfordmurphytilly,"Crawford, Murphy & Tilly",2,0,Civil Engineers,I,80824.5
crawfordpharmacyofpleasanton,Crawford Pharmacy of Pleasanton,1,0,Pharmacists,II,116667.20000000001
crayhillcapitalmanagementlp,Crayhill Capital Management LP,2,0,Financial and Investment Analysts,III,161356
crazymaplestudio,Crazy Maple Studio,2,0,Interpreters and Translators,II,73809
crcmlp,CRCM LP,1,0,Financial and Investment Analysts,II,114462
crcservices,CRC Services,2,0,Data Scientists,III,118310.5
cre8techlabs,CRE8TECH LABS,1,0,"Computer Occupations, All Other",III,109782
creationtechnologiesinternational,Creation Technologies International,2,0,Industrial Engineers,III,102720.5
creativebiolabs,Creative Biolabs,1,0,Biochemists and Biophysicists,IV,123365
creativegardensearlyeducationva,Creative Gardens Early Education VA,1,0,"Education and Childcare Administrators, Preschool and Daycare",IV,79061
creativemindtechnology,Creative Mind Technology,2,0,Software Developers,I,79497.5
creativesecuritytechnology,Creative Security Technology,1,0,"Business Operations Specialists, All Other",I,51126.399999999994
creativesoftwaresolution,Creative Software Solution,1,0,Information Technology Project Managers,III,121514
creativesolutionsservices,Creative Solutions Services,1,0,Software Developers,II,123656
creativesprings,Creative Springs,1,0,Search Marketing Strategists,II,51979
creativesystemsandconsulting,Creative Systems and Consulting,2,0,Information Technology Project Managers,IV,164996
credencetechnologies,Credence Technologies,2,0,Software Developers,II,101285.5
crederaenterprisescompany,Credera Enterprises Company,2,0,Computer Systems Engineers/Architects,IV,161699
crediblelabs,Credible Labs,4,0,Software Developers,III,145964
creditagricolesecuritiesusa,Credit Agricole Securities (USA),1,0,Economists,IV,207875
creditsesame,Credit Sesame,1,0,Software Developers,III,199534
credosemiconductor,Credo Semiconductor,2,0,Electrical Engineers,III,162281.5
credtechnologies,CRED TECHNOLOGIES,2,0,Software Developers,III,135865.5
creightonelementaryschooldistrict,Creighton Elementary School District,4,0,"Elementary School Teachers, Except Special Education",I,45950
cremejunaizakiarchitecturedesigndpc,CREME/Jun Aizaki Architecture & Design D.P.C,1,0,"Architects, Except Landscape and Naval",II,87589
crenlocabproducts,Crenlo Cab Products,1,0,Mechanical Engineers,II,79435
crescendocollective,CRESCENDO COLLECTIVE,1,0,Software Developers,II,94307
crestlineinvestors,Crestline Investors,1,0,Operations Research Analysts,IV,125008
crestrealestate,CREST REAL ESTATE,1,0,Project Management Specialists,II,88109
crestridgeconsulting,Crestridge Consulting,1,0,Financial and Investment Analysts,I,71635
crestronelectronics,Crestron Electronics,2,0,Database Architects,II,125673.7
crestwoodhbmedicalservices,Crestwood HB Medical Services,1,0,Hospitalists,II,183102.4
crevavi,CREVAVI,1,0,Computer and Information Systems Managers,IV,184496
crexi,Crexi,1,0,Accountants and Auditors,III,96450
crgtx,CRG TX,1,0,Physical Therapists,II,94931
cribl,Cribl,7,0,Software Developers,III,180960
cricketwireless,CRICKET WIRELESS,7,0,Software Developers,IV,149760
crisistextline,Crisis Text Line,1,0,Statisticians,II,72301
crisp,Crisp,1,0,Data Scientists,IV,170373
crisprtherapeutics,CRISPR Therapeutics,4,0,Molecular and Cellular Biologists,II,96886.3
criterionsystems,Criterion Systems,1,0,Interior Designers,III,80891
criticalmassstudios,Critical Mass Studios,1,0,Database Administrators,IV,131560
crmco,CRM Co,1,0,Mechanical Engineers,I,68890
crocs,Crocs,3,0,Information Technology Project Managers,III,117021
croftassociates,Croft & Associates,1,0,"Architects, Except Landscape and Naval",II,81307
croftassociatespc,"Croft & Associates, P.C",2,0,"Architects, Except Landscape and Naval",III,99549
crosscityconstructioncorp,CROSSCITY CONSTRUCTION CORP,1,0,Mechanical Engineers,II,94286.4
crosscountryconsulting,CrossCountry Consulting,1,0,Management Analysts,III,166754
crosscountrymortgage,CrossCountry Mortgage,9,0,Software Developers,III,134347
crosslanguage,Cross Language,1,0,Software Developers,III,151548.8
crossnokaye,Crossno & Kaye,1,0,Software Developers,III,156229
crosstrailsmedicalcenter,Cross Trails Medical Center,2,0,"Dentists, General",II,171912
crowcreektribalschools,CROW CREEK TRIBAL SCHOOLS,1,0,"Special Education Teachers, Elementary School",I,45260
crowdsoftwareconsulting,Crowd Software Consulting,3,0,Software Developers,II,105997
crowleymaritimecorporation,CROWLEY MARITIME CORPORATION,6,0,Business Intelligence Analysts,III,112684
crownassetmanagement,Crown Asset Management,1,0,Business Intelligence Analysts,II,90958
crownconsulting,Crown Consulting,1,0,Aerospace Engineers,III,158621
crunchydatasolutions,Crunchy Data Solutions,1,0,Software Developers,IV,143998
crusaderscentralclinicassociation,CRUSADERS CENTRAL CLINIC ASSOCIATION,2,0,Family Medicine Physicians,I,79518.5
crusadetechnologiesusa,CRUSADE TECHNOLOGIES USA,2,0,Computer Systems Analysts,II,93704
cruzfoam,Cruz Foam,2,0,General and Operations Managers,IV,165069
cryoconceptslp,CryoConcepts LP,1,0,Manufacturing Engineers,I,70782
cryogenicindustries,Cryogenic Industries,1,0,Electrical Engineers,II,108555
crystalcapitalpartners,Crystal Capital Partners,1,0,Financial and Investment Analysts,II,85467
crystalequationcorporation,Crystal Equation Corporation,3,0,Computer Systems Engineers/Architects,III,139588.8
csaainsuranceservices,CSAA Insurance Services,25,0,Software Developers,III,127878
csaamericatestingcertification,CSA America Testing & Certification,1,0,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",I,78666
csatf,CSATF,1,0,Computer Systems Engineers/Architects,III,101379
csatsolutionslp,"CSAT Solutions, LP",2,0,Data Scientists,I,75629
csbioco,C S BIO CO,1,0,Chemists,I,69014
cscconsulting,CSC Consulting,3,0,Software Developers,II,98646
cscdesign,CSC Design,1,0,Architectural and Civil Drafters,III,65998
cscghsharedservices,CSCGH Shared Services,1,0,Financial Quantitative Analysts,II,80538
cscs,CSCS,3,0,Computer Systems Analysts,II,89710
csenergy,CS ENERGY,3,0,Civil Engineers,II,76482
csgfortepaymentsdbacsg,CSG Forte Payments. d/b/a CSG,1,0,Software Developers,III,127878
csggovernmentsolutions,CSG Government Solutions,1,0,Software Developers,IV,148949
csiit,CSI IT,1,0,Software Developers,IV,127795
csisolutions,CSI Solutions,3,0,Software Developers,II,105227
csrastateandlocalsolutions,CSRA State and Local Solutions,7,0,Software Developers,IV,112174
cssdistributions,CSS DISTRIBUTIONS,1,0,Business Intelligence Analysts,I,69160
cssi,CSSI,3,0,Software Developers,II,122699
cstreethealthassociates,C Street Health Associates,1,0,Occupational Therapists,II,96928
cswholesalegrocers,C&S Wholesale Grocers,7,0,Software Developers,IV,137592
csxperts,CSXPERTS,1,0,Database Administrators,IV,119808
csxtech,CSXTech,11,0,Software Developers,II,98946
csystems,C Systems,2,0,Data Scientists,II,103802.5
ctbcbankcoltd,CTBC Bank Co. Ltd,1,0,Credit Counselors,II,59530
ctctradinggroup,CTC Trading Group,11,0,Financial Quantitative Analysts,I,85363
cthealthcareservices,CT Healthcare Services,1,0,Computer Programmers,II,79560
ctis,CTIS,1,0,Statisticians,I,94910
ctrliq,Ctrl IQ,2,0,Software Developers,IV,154034.5
ctscorporation,CTS Corporation,2,0,Industrial Engineers,III,99632
cuadrillacapital,Cuadrilla Capital,1,0,Financial and Investment Analysts,III,109554
cubaindependentschooldistrict,Cuba Independent School District,1,0,"Secondary School Teachers, Except Special and Career/Technical Education",III,66120
cubexit,CUBEXIT,3,0,Software Developers,II,93746
cubictechnologies,Cubic Technologies,1,0,Software Developers,II,105206.4
cubictransportationsystems,Cubic Transportation Systems,1,0,Information Technology Project Managers,IV,137405
cuboid,CUBOID,7,0,Software Developers,I,83096
cullertongroup,Cullerton Group,2,0,Computer Systems Engineers/Architects,III,91686.4
cultivatepower,Cultivate Power,1,0,Operations Research Analysts,II,87464
cultureamp,Culture Amp,1,0,Marketing Managers,IV,186597
cumberlandmutualfireinsurancecompany,Cumberland Mutual Fire Insurance Company,1,0,Software Developers,IV,119330
cummingdentalsmiles2,Cumming Dental Smiles 2,1,0,"Dentists, General",III,207626
cumminsemissionsolutions,Cummins Emission Solutions,23,0,Mechanical Engineers,III,92230
cumminsfiltration,Cummins Filtration,8,0,Industrial Engineers,III,99133
cumulusdigitalsystems,Cumulus Digital Systems,1,0,Software Developers,II,122970
cunninghamengineeringcorporation,Cunningham Engineering Corporation,1,0,Civil Engineers,I,83928
cupertinoelectric,Cupertino Electric,1,0,Electrical Engineers,II,111426
curbmobility,CURB MOBILITY,1,0,Market Research Analysts and Marketing Specialists,II,79789
curinos,Curinos,1,0,Information Technology Project Managers,III,121514
curiosityresearchdbacurio,Curiosity Research. dba Curio,1,0,Data Scientists,I,98155
curiumus,Curium US,1,0,Compliance Officers,IV,90584
currentways,Current Ways,1,0,Architectural and Engineering Managers,III,144955.19999999998
curriebrown,Currie & Brown,4,0,Cost Estimators,II,95129
curryhealthdistrict,Curry Health District,2,0,Medical and Clinical Laboratory Technologists,IV,76169.59999999999
curtainwalldesignconsulting,Curtain Wall Design & Consulting,1,0,"Architects, Except Landscape and Naval",I,65582
curtisinstruments,Curtis Instruments,2,0,Computer Systems Engineers/Architects,IV,174647
curvature,Curvature,1,0,Software Developers,III,156229
cushmanwakefieldus,Cushman & Wakefield U.S.,1,0,Information Technology Project Managers,NA,115238
customengineering,Custom Engineering,1,0,Mechanical Engineers,II,81890
customertimescorp,Customertimes Corp,2,0,Software Developers,III,151819
customervaluepartners,CUSTOMER VALUE PARTNERS,1,0,Information Security Analysts,IV,166088
customgoods,Custom Goods,1,0,Financial and Investment Analysts,II,94203
customizedservicesadministratorsincorporated,"Customized Services Administrators, Incorporated",2,0,Information Technology Project Managers,III,108971
cvent,Cvent,8,0,Software Developers,III,144050.5
cvpveterinaryin,CVP VETERINARY IN,1,0,Veterinarians,II,108992
cvrmanagement,CVR Management,1,0,Computer and Information Systems Managers,III,196040
cvslogiccom,CVSLOGIC.COM,1,0,Software Developers,I,91645
cvtechinnovations,CVTech Innovations,4,0,Software Developers,II,106277.5
cwcinternational,CWC International,2,0,Software Developers,II,104218.5
cwe,CWE,1,0,Environmental Engineers,III,109741
cwprofessionalservices,CW PROFESSIONAL SERVICES,3,0,Computer Systems Engineers/Architects,IV,111072
cxdatalabs,CX DATA LABS,2,0,Software Quality Assurance Analysts and Testers,II,74027.5
cxops,CxOps,1,0,Software Developers,II,126942
cybecys,CybeCys,4,0,Software Developers,II,114348
cyber1armor,CYBER 1 ARMOR,21,0,Software Developers,I,95493
cyberaglobal,Cybera Global,1,0,Software Developers,II,122699.2
cyberarksoftware,CyberArk Software,1,0,Software Developers,II,96387
cyberarksoftwareusalp,"CyberArk Software USA, LP",4,0,Software Developers,III,183185.5
cyberlab,Cyber Lab,1,0,Accountants and Auditors,IV,55141
cybersphere,CYBER SPHERE,7,0,Database Administrators,II,105227.20000000001
cybersystemtechnologies,Cyber System Technologies,3,0,Computer Programmers,II,83283
cybertechsystemsandsoftware,CyberTech Systems and Software,1,0,Sales Engineers,IV,153379
cyclotron,Cyclotron,4,0,Computer Systems Engineers/Architects,III,120234.5
cydcor,Cydcor,3,0,Software Developers,IV,149781
cyflaresecurity,CyFlare Security,1,0,Information Security Analysts,III,105269
cygnetinfotech,CYGNET INFOTECH,1,0,Software Developers,IV,152131
cygtec,CYGTEC,2,0,Software Quality Assurance Analysts and Testers,II,84500
cynchealthadvisors,CyncHealth Advisors,1,0,Clinical Data Managers,IV,111488
cyndxtechnologies,Cyndx Technologies,2,0,Graphic Designers,III,104717.5
cyngn,Cyngn,1,0,Robotics Engineers,III,168480
cyphercypher,Cypher & Cypher,1,0,Accountants and Auditors,II,65978
cypressophthalmologygroup,Cypress Ophthalmology Group,1,0,Optometrists,I,81370
cyrettechnologies,Cyret Technologies,2,0,Computer Systems Engineers/Architects,II,83907.5
cytekbiosciences,Cytek Biosciences,2,0,Data Scientists,NA,152133
cytesi,CyteSi,1,0,Mechanical Engineers,I,94786
cytonomest,Cytonome/ST,1,0,Software Developers,III,147846
cytracom,Cytracom,1,0,Software Developers,III,127878
cyvl,Cyvl,1,0,Data Scientists,IV,148762
d2i0a2m5o,D2I0A2M5O,1,0,Chief Executives,I,148450
d2sol,D2Sol,20,0,Software Developers,II,122699
dabicoairportsolutions,Dabico Airport Solutions,1,0,Project Management Specialists,II,77626
dackconsultingsolutions,DACK Consulting Solutions,3,0,Civil Engineers,II,96138
dadavidsonco,D.A. Davidson & Co,2,0,Financial and Investment Analysts,III,106745.5
daeassociatesltd,"DAE & Associates, Ltd",1,0,Civil Engineers,I,64355
daedonghilexofamerica,Daedong Hi-Lex of America,1,0,Mechanical Engineers,I,63190
daehaamericacorp,Daeha America Corp,1,0,Market Research Analysts and Marketing Specialists,II,49858
daehansolutiongeorgia,Daehan Solution Georgia,1,0,Accountants and Auditors,I,44491
daekyoamerica,Daekyo America,1,0,Market Research Analysts and Marketing Specialists,I,60174
daffodiltechnologies,Daffodil Technologies,1,0,Software Developers,II,123656
daifukuairportamericacorporation,Daifuku Airport America Corporation,4,0,Construction Managers,III,116448.5
daikinappliedamericas,Daikin Applied Americas,2,0,Architectural and Engineering Managers,III,192493.5
dailypay,DailyPay,1,0,Computer and Information Systems Managers,III,219440
daimaynorthamericaautomotive,Daimay North America Automotive,2,0,Mechanical Engineers,I,72467.1
daimlertruckfinancialservicesusa,Daimler Truck Financial Services USA,1,0,Software Developers,IV,132350
dairyconveyorcorporation,Dairy Conveyor Corporation,1,0,Mechanical Engineers,II,94286
dairyfarmersofamerica,Dairy Farmers of America,1,0,Network and Computer Systems Administrators,III,94099
dairylandusacorporation,Dairyland USA Corporation,2,0,Software Developers,III,141450.5
daisyeducationcorporation,Daisy Education Corporation,3,0,"Elementary School Teachers, Except Special Education",IV,58850
daisypay,Daisy Pay,1,0,Data Scientists,III,124176
daiwacapitalmarketsamerica,Daiwa Capital Markets America,1,0,"Securities, Commodities, and Financial Services Sales Agents",II,131373
dakotaprovisions,Dakota Provisions,1,0,Industrial Engineers,III,93433.6
daktech,DAK Tech,2,0,Computer Programmers,II,90210
dalladentalgroupfairfield,DALLA DENTAL GROUP FAIRFIELD,1,0,"Dentists, General",III,195915.19999999998
dalladentalgroupgalt,DALLA DENTAL GROUP GALT,1,0,"Dentists, General",IV,207438.4
daltonsmithconstruction,Dalton Smith Construction,1,0,Electrical Engineers,III,103230
daman,Daman,4,0,Software Developers,III,133307
damianconsulting,Damian Consulting,12,0,Software Developers,II,105997
damol,Damol,1,0,Pharmacists,I,109449.59999999999
danaheavyvehiclesystemsgroup,Dana Heavy Vehicle Systems Group,1,0,Mechanical Engineers,IV,117853
danahercorporation,Danaher Corporation,1,0,Database Architects,IV,140275
danatronicscorporation,Danatronics Corporation,1,0,Software Developers,I,98072
daneeldynamics,Daneel Dynamics,1,0,Financial Managers,II,190757
danfoss,Danfoss,9,0,Electrical Engineers,IV,103418
danfosspowersolutionsuscompany,Danfoss Power Solutions (US) Company,3,0,Sales Engineers,IV,130936
danielarogerslandscapearchitecturep,Daniel A. Rogers Landscape Architecture P,1,0,Landscape Architects,II,73611
danielconsultants,Daniel Consultants,1,0,Transportation Engineers,II,84510
danielitaranis,Danieli Taranis,1,0,Mechatronics Engineers,II,92414
daninfo,DAN INFO,4,0,Software Developers,II,104801
danswerai,DanswerAI,1,0,Information Technology Project Managers,IV,173638.4
dantainfotech,Danta Infotech,6,0,Computer Programmers,II,82971
dapglobal,DAP Global,2,0,Industrial Engineers,III,113110
daqusenergy,Daqus Energy,1,0,Materials Engineers,III,118227
dareauto,Dare Auto,1,0,Accountants and Auditors,IV,103501
darkmattertechnologies,Dark Matter Technologies,2,0,Computer Systems Engineers/Architects,III,108409.5
darlingingredients,Darling Ingredients,1,0,Computer Systems Engineers/Architects,III,109886
darlingtoncountyschooldistrict,Darlington County School District,7,0,"Secondary School Teachers, Except Special and Career/Technical Education",I,43770
dartcontainerofmichigan,Dart Container of Michigan,10,0,Software Developers,II,100724
dartronics,Dartronics,1,0,Industrial Engineers,IV,124030
dashan,Dashan,1,0,Lawyers,I,93662.40000000001
dashdesign,Dash Design,1,0,Interior Designers,II,61152
dashtechnologies,Dash Technologies,1,0,Software Developers,II,95243
dassaultsystemessolidworkscorporation,Dassault Systemes SolidWorks Corporation,4,0,Computer and Information Systems Managers,II,112902.5
dastechnologyservices,DAS TECHNOLOGY SERVICES,1,0,Radio Frequency Identification Device Specialists,IV,143978
dataanalyticsandcreativesolutions,Data Analytics and Creative Solutions,3,0,Computer Programmers,II,94370
dataaxle,Data Axle,1,0,Network and Computer Systems Administrators,IV,109117
databloom,DATABLOOM,2,0,Database Administrators,II,90209.5
databrew,DataBrew,2,0,Computer Systems Analysts,II,96626.5
datacaliper,DATACALIPER,6,0,Software Developers,I,105892.5
datachat,DataChat,1,0,Computer and Information Systems Managers,III,155002
dataconcepts,Data Concepts,5,0,Computer Systems Analysts,III,123677
datacor,Datacor,2,0,Chemical Engineers,I,109699
datacoresystems,Datacore Systems,4,0,Software Developers,II,94349
datadestination,Data Destination,1,0,Software Developers,I,77563.2
dataedge,DATAEDGE,19,0,Software Developers,II,105206
dataedgeconsulting,DataEdge Consulting,7,0,Computer Systems Analysts,II,98030
dataglacier,DataGlacier,1,0,Software Developers,I,84094.4
dataguise,Dataguise,1,0,Software Developers,NA,155814
dataintelligenceit,Data Intelligence-IT,2,0,Computer Systems Analysts,I,86236.5
dataintensity,Data Intensity,3,0,Project Management Specialists,IV,112986
dataloretechnologies,Datalore Technologies,20,0,Software Developers,II,109262.40000000001
datalysys,Datalysys,4,0,Data Scientists,I,89710
datamaxsoftwaregroup,DataMax Software Group,2,0,Market Research Analysts and Marketing Specialists,II,102429.5
datametricstechnologies,DataMetrics Technologies,1,0,Database Administrators,I,65333
dataonez,Dataonez,2,0,Software Developers,I,104041.5
dataopstechnologies,DataOps Technologies,1,0,Database Administrators,II,87172.79999999999
datapower,Datapower,1,0,Business Intelligence Analysts,I,67995
dataprise,Dataprise,2,0,Information Technology Project Managers,III,125434.5
datarecognitioncorporation,Data Recognition Corporation,4,0,Software Developers,II,107245
datascopecorp,Datascope Corp,2,0,Software Developers,II,115804
datasentinelai,DATA SENTINEL AI,1,0,Software Developers,IV,161886
datasite,DataSite,1,0,Financial Quantitative Analysts,IV,164174
datasoftnow,DataSoftNow,3,0,Information Security Analysts,NA,60000
datasofttechnologies,DATASOFT TECHNOLOGIES,3,0,Computer Systems Engineers/Architects,IV,121160
datasolutions,Data Solutions,13,0,Software Developers,II,105976
datastax,DataStax,10,0,Software Developers,III,136198.5
datastrong,Datastrong,1,0,Software Developers,II,105206
datasupport,Data Support,1,0,Computer and Information Research Scientists,I,90168
datasysinfotech,DataSys Infotech,1,0,Software Developers,II,112986
datasystemsintegrationgroup,Data Systems Integration Group,8,0,Software Developers,II,104769.5
datavailcorporation,Datavail Corporation,9,0,Database Administrators,III,105997
datavisor,DataVisor,1,0,Information Security Analysts,II,139152
datsolutions,DAT Solutions,3,0,Computer and Information Systems Managers,IV,199680
datumconsultinggroup,Datum Consulting Group,1,0,Software Developers,II,95243
datumengineers,Datum Engineers,1,0,Civil Engineers,III,98946
datumsoftware,Datum Software,1,0,Software Quality Assurance Analysts and Testers,II,83532.79999999999
datumsoftwaredbadatumtechnologiesgroup,"Datum Software., DBA Datum Technologies Group",1,0,Computer Network Architects,II,111363.2
daveoperating,Dave Operating,7,0,Software Developers,III,148699
davidailabs,David AI Labs,1,0,Operations Research Analysts,IV,141523
davidsonkempnercapitalmanagementlp,DAVIDSON KEMPNER CAPITAL MANAGEMENT LP,7,0,Financial and Investment Analysts,II,115731
daviesadvisorslp,"Davies Advisors, L.P",2,0,Business Intelligence Analysts,IV,170373
daviscountyhospital,Davis County Hospital,1,0,Medical and Clinical Laboratory Technologists,II,46612.8
davita,DaVita,37,0,Software Developers,III,116771
dawnfoodproducts,DAWN FOOD PRODUCTS,2,0,Computer and Information Systems Managers,III,134472
dawsonjamessecurities,Dawson James Securities,1,0,Financial Quantitative Analysts,I,68744
daxoindustries,Daxo Industries,1,0,Robotics Engineers,I,99673.6
dayforceus,Dayforce US,1,0,Computer Systems Engineers/Architects,NA,109639
dayoneventuresmanagement,Day One Ventures Management,1,0,Public Relations Specialists,III,91770
daypitneyllp,Day Pitney LLP,1,0,Lawyers,IV,272418
daytonchildrenshospital,Dayton Children's Hospital,1,0,Computer Systems Engineers/Architects,II,90147
daytonindependentschooldistrict,Dayton Independent School District,5,0,"Elementary School Teachers, Except Special Education",II,57357
daytonprogresscorporation,Dayton Progress Corporation,1,0,Information Technology Project Managers,III,104520
daytownrealty,Daytown Realty,1,0,Public Relations Specialists,I,34757
dayzimmermann,Day & Zimmermann,7,0,Software Developers,IV,120120
dazproduction,DAZ Production,1,0,Software Developers,III,120682
dazzloncomputerservices,Dazzlon Computer Services,5,0,Computer Programmers,II,85530
dbservicesamericas,DB Services Americas,1,0,Management Analysts,IV,109013
dbsysgraph,DBSysgraph,2,0,Software Developers,II,99049.5
dbtlabs,dbt Labs,6,0,Software Developers,III,153774
dcbilingualpubliccharterschool,DC BILINGUAL PUBLIC CHARTER SCHOOL,1,0,"Special Education Teachers, Elementary School",I,56790
dccapitalpartnersmanagementlp,DC CAPITAL PARTNERS MANAGEMENT LP,2,0,Financial and Investment Analysts,IV,139818
dcinfo,D&C INFO,1,0,Clinical Data Managers,II,107016
ddbconstruction,DD&B Construction,1,0,Construction Managers,II,84219
deaconessspecialtyphysicians,Deaconess Specialty Physicians,1,0,Cardiologists,II,112050
dealerdirect,DealerDirect,5,0,Software Developers,IV,132350
dealeron,DealerOn,2,0,Software Developers,II,119256.5
dealersocket,DealerSocket,1,0,Software Developers,III,118352
deanmcgeeeyeinstitute,Dean McGee Eye Institute,1,0,"Physicians, All Other",I,62566
deansarchercocpas,DEANS ARCHER CO. CPA'S,1,0,Accountants and Auditors,I,71136
dearbornmidwestcompany,Dearborn Mid-West Company,1,0,Industrial Production Managers,IV,145434
debmanufacturing,D.E.B. Manufacturing,1,0,Aerospace Engineers,III,118560
decalogue,Decalogue,1,0,Software Quality Assurance Analysts and Testers,II,104312
deccaninternational,Deccan International,2,0,Business Intelligence Analysts,III,96584.5
dechenconsultinggroup,Dechen Consulting Group,15,0,Software Developers,II,98113.6
deciphersoftwaresolutions,DECIPHER SOFTWARE SOLUTIONS,3,0,Software Developers,II,108825.6
decisionminds,Decision Minds,6,0,Computer Systems Engineers/Architects,II,132579
decisionspot,Decision Spot,1,0,Computer Systems Engineers/Architects,III,112965
decisionwavetechnologies,Decisionwave Technologies,2,0,Computer Programmers,II,93953.79999999999
decked,Decked,1,0,Mechanical Engineers,IV,89814
decodedadvertising,Decoded Advertising,1,0,Operations Research Analysts,III,114670
decostarindustries,DECOSTAR INDUSTRIES,1,0,Environmental Engineers,IV,120307
dedicatedseniormedicalcentersofflorida,Dedicated Senior Medical Centers of Florida,2,0,General Internal Medicine Physicians,II,183445.5
deebecon,DeeBeCon,11,0,Software Developers,II,102627
deel,Deel,2,0,Logisticians,II,141689.5
deephealth,Deep Health,1,0,Software Quality Assurance Analysts and Testers,III,120994
deepreachtechnology,Deep Reach Technology,1,0,Mechanical Engineers,I,65811
deepseas,Deep Seas,1,0,Information Security Analysts,IV,147534
deepwaterco,Deepwater & Co,1,0,Lawyers,III,154378
deerfieldimaging,Deerfield Imaging,1,0,Regulatory Affairs Specialists,IV,100734
deetaitsolutions,DEETA IT SOLUTIONS,1,0,"Computer Occupations, All Other",II,83658
defiauto,defi AUTO,3,0,Software Developers,IV,131706
definitivefinance,Definitive Finance,1,0,Software Developers,III,180960
definitivehealthcare,Definitive Healthcare,5,0,Operations Research Analysts,III,114670
definitivemediacorp,Definitive Media Corp,2,0,Software Developers,IV,171018
defox,DEFOX,1,0,Logisticians,III,89211.2
defoxxassociates,d.e. Foxx & Associates,1,0,General and Operations Managers,II,75712
degree,Degree,3,0,Data Scientists,IV,155709
dekeo,DEKEO,1,0,Computer and Information Systems Managers,IV,223600
delagelandenfinancialservices,De Lage Landen Financial Services,9,0,Software Developers,III,118456
delarttechnologyservices,Delart Technology Services,5,0,Electrical Engineers,II,156624
delasoft,DELASOFT,2,0,Software Developers,II,118591
delawarehealthinformationnetwork,Delaware Health Information Network,1,0,Computer Systems Engineers/Architects,IV,111488
delawarestateuniversity,Delaware State University,1,0,Dietitians and Nutritionists,III,64230
delawie,Delawie,1,0,"Architects, Except Landscape and Naval",I,70699
delcathsystems,Delcath Systems,1,0,Quality Control Systems Managers,I,83262
delekusenergy,Delek US Energy,1,0,Computer and Information Systems Managers,III,155480
